"path","name","area","role","classification","registered_in_pipeline","declared_outputs","writes_publication_source_data","code_callers","test_references","listed_as_legacy","human_invoked_entrypoint","documented_in_docs"
"R/enrichment/gsea_wgcna_concordance_utils.R","gsea_wgcna_concordance_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,4,9,FALSE,FALSE,TRUE
"R/enrichment/manuscript_go_theme_utils.R","manuscript_go_theme_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,6,5,FALSE,FALSE,TRUE
"R/enrichment/microglia_targeted_signature_utils.R","microglia_targeted_signature_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,2,1,FALSE,FALSE,TRUE
"R/enrichment/protein_group_enrichment_utils.R","protein_group_enrichment_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,6,3,FALSE,FALSE,TRUE
"R/networks/animal_spatial_network_utils.R","animal_spatial_network_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,4,1,FALSE,FALSE,TRUE
"R/networks/spatial_network_utils.R","spatial_network_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,8,1,FALSE,FALSE,TRUE
"R/networks/wgcna_network_position_utils.R","wgcna_network_position_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,2,1,FALSE,FALSE,TRUE
"R/null_coalescing.R","null_coalescing.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,13,1,FALSE,FALSE,TRUE
"R/paths.R","paths.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,163,102,FALSE,FALSE,TRUE
"R/qc/compartment_abundance_utils.R","compartment_abundance_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,3,2,FALSE,FALSE,TRUE
"R/qc/control_compartment_abundance_rendering.R","control_compartment_abundance_rendering.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,2,1,FALSE,FALSE,TRUE
"R/qc/control_compartment_abundance_workflow.R","control_compartment_abundance_workflow.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,2,1,FALSE,FALSE,TRUE
